subject,region,grade_class,year,grade,degree_type
法律(非法学)、法律(法学)、社会工作、警务,B类,单科=100分,2012,39,专硕
法律(非法学)、法律(法学)、社会工作、警务,B类,单科>100分,2012,59,专硕
法律(非法学)、法律(法学)、社会工作、警务,B类,总分,2013,305,专硕
法律(非法学)、法律(法学)、社会工作、警务,B类,单科=100分,2013,39,专硕
法律(非法学)、法律(法学)、社会工作、警务,B类,单科>100分,2013,59,专硕
法律(非法学)、法律(法学)、社会工作、警务,B类,总分,2014,305,专硕
法律(非法学)、法律(法学)、社会工作、警务,B类,单科=100分,2014,41,专硕
法律(非法学)、法律(法学)、社会工作、警务,B类,单科>100分,2014,62,专硕
法律(非法学)、法律(法学)、社会工作、警务,B类,总分,2015,290,专硕
法律(非法学)、法律(法学)、社会工作、警务,B类,单科=100分,2015,39,专硕
法律(非法学)、法律(法学)、社会工作、警务,B类,单科>100分,2015,59,专硕
法律(非法学)、法律(法学)、社会工作、警务,B类,总分,2016,305,专硕
法律(非法学)、法律(法学)、社会工作、警务,B类,单科=100分,2016,42,专硕
法律(非法学)、法律(法学)、社会工作、警务,B类,单科>100分,2016,63,专硕
法律(非法学)、法律(法学)、社会工作、警务,B类,总分,2017,300,专硕
法律(非法学)、法律(法学)、社会工作、警务,B类,单科=100分,2017,41,专硕
法律(非法学)、法律(法学)、社会工作、警务,B类,单科>100分,2017,62,专硕
法律(非法学)、法律(法学)、社会工作、警务,B类,总分,2018,305,专硕
法律(非法学)、法律(法学)、社会工作、警务,B类,单科=100分,2018,39,专硕
法律(非法学)、法律(法学)、社会工作、警务,B类,单科>100分,2018,59,专硕
法律(非法学)、法律(法学)、社会工作、警务,B类,总分,2019,310,专硕
法律(非法学)、法律(法学)、社会工作、警务,B类,单科=100分,2019,41,专硕
法律(非法学)、法律(法学)、社会工作、警务,B类,单科>100分,2019,62,专硕
教育、汉语国际教育,A类,总分,2010,310,专硕
教育、汉语国际教育,A类,单科=100分,2010,41,专硕
教育、汉语国际教育,A类,单科>100分,2010,62,专硕
教育、汉语国际教育,A类,总分,2011,305,专硕
教育、汉语国际教育,A类,单科=100分,2011,40,专硕
教育、汉语国际教育,A类,单科>100分,2011,60,专硕
