subject,region,grade_class,year,grade,degree_type
教育学,A类,单科=100分,2006,53,学硕
教育学,A类,单科>100分,2006,80,学硕
教育学,B类,总分,2006,320,学硕
教育学,B类,单科=100分,2006,51,学硕
教育学,B类,单科>100分,2006,77,学硕
教育学,A类,总分,2007,305,学硕
教育学,A类,单科=100分,2007,50,学硕
教育学,A类,单科>100分,2007,150,学硕
教育学,B类,总分,2007,300,学硕
教育学,B类,单科=100分,2007,48,学硕
教育学,B类,单科>100分,2007,144,学硕
教育学,A类,总分,2008,310,学硕
教育学,A类,单科=100分,2008,49,学硕
教育学,A类,单科>100分,2008,147,学硕
教育学,B类,总分,2008,300,学硕
教育学,B类,单科=100分,2008,45,学硕
教育学,B类,单科>100分,2008,135,学硕
教育学,A类,总分,2009,300,学硕
教育学,A类,单科=100分,2009,42,学硕
教育学,A类,单科>100分,2009,126,学硕
教育学,B类,总分,2009,290,学硕
教育学,B类,单科=100分,2009,39,学硕
教育学,B类,单科>100分,2009,117,学硕
教育学,A类,总分,2010,310,学硕
教育学,A类,单科=100分,2010,41,学硕
教育学,A类,单科>100分,2010,123,学硕
教育学,B类,总分,2010,300,学硕
教育学,B类,单科=100分,2010,38,学硕
教育学,B类,单科>100分,2010,114,学硕
教育学,A类,总分,2011,305,学硕
教育学,A类,单科=100分,2011,40,学硕
教育学,A类,单科>100分,2011,120,学硕
教育学,B类,总分,2011,295,学硕
教育学,B类,单科=100分,2011,38,学硕
教育学,B类,单科>100分,2011,114,学硕
教育学,A类,总分,2012,300,学硕
教育学,A类,单科=100分,2012,40,学硕
教育学,A类,单科>100分,2012,120,学硕
教育学,B类,总分,2012,290,学硕
教育学,B类,单科=100分,2012,37,学硕
教育学,B类,单科>100分,2012,111,学硕
教育学,A类,总分,2013,310,学硕
教育学,A类,单科=100分,2013,40,学硕
教育学,A类,单科>100分,2013,120,学硕
教育学,B类,总分,2013,300,学硕
教育学,B类,单科=100分,2013,37,学硕
教育学,B类,单科>100分,2013,111,学硕
教育学,A类,总分,2014,315,学硕
教育学,A类,单科=100分,2014,42,学硕
教育学,A类,单科>100分,2014,126,学硕
教育学,B类,总分,2014,305,学硕
教育学,B类,单科=100分,2014,39,学硕
教育学,B类,单科>100分,2014,117,学硕
教育学,A类,总分,2015,320,学硕
教育学,A类,单科=100分,2015,44,学硕
教育学,A类,单科>100分,2015,132,学硕
教育学,B类,总分,2015,310,学硕
教育学,B类,单科=100分,2015,41,学硕
教育学,B类,单科>100分,2015,123,学硕
教育学,A类,总分,2016,320,学硕
教育学,A类,单科=100分,2016,45,学硕
教育学,A类,单科>100分,2016,135,学硕
教育学,B类,总分,2016,310,学硕
教育学,B类,单科=100分,2016,42,学硕
教育学,B类,单科>100分,2016,126,学硕
教育学,A类,总分,2017,310,学硕
教育学,A类,单科=100分,2017,44,学硕
教育学,A类,单科>100分,2017,132,学硕
教育学,B类,总分,2017,300,学硕
教育学,B类,单科=100分,2017,41,学硕
教育学,B类,单科>100分,2017,123,学硕
教育学,A类,总分,2018,320,学硕
教育学,A类,单科=100分,2018,44,学硕
教育学,A类,单科>100分,2018,132,学硕
教育学,B类,总分,2018,310,学硕
教育学,B类,单科=100分,2018,41,学硕
教育学,B类,单科>100分,2018,123,学硕
教育学,A类,总分,2019,325,学硕
教育学,A类,单科=100分,2019,44,学硕
教育学,A类,单科>100分,2019,132,学硕
教育学,B类,总分,2019,315,学硕
教育学,B类,单科=100分,2019,41,学硕
教育学,B类,单科>100分,2019,123,学硕
教育学,A类,总分,2020,331,学硕
教育学,A类,单科=100分,2020,46,学硕
教育学,A类,单科>100分,2020,138,学硕
教育学,B类,总分,2020,321,学硕
教育学,B类,单科=100分,2020,43,学硕
教育学,B类,单科>100分,2020,129,学硕
文学,A类,总分,2005,350,学硕
文学,A类,单科=100分,2005,55,学硕
文学,A类,单科>100分,2005,83,学硕
文学,B类,总分,2005,345,学硕
文学,B类,单科=100分,2005,53,学硕
文学,B类,单科>100分,2005,80,学硕
文学,A类,总分,2006,350,学硕
文学,A类,单科=100分,2006,57,学硕
文学,A类,单科>100分,2006,86,学硕
文学,B类,总分,2006,345,学硕
文学,B类,单科=100分,2006,55,学硕
